Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,2.0,2.0,xk Kosovo,66.0,12700.0,Granit Xhaka,4-3-3,Jakob Kehlet,Match Report,,ch Switzerland
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,0.0,ad Andorra,84.0,9000.0,Granit Xhaka,3-4-1-2,Elçin Məsiyev,Match Report,,ch Switzerland
2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,by Belarus,78.0,17000.0,Granit Xhaka,4-2-3-1,João Pinheiro,Match Report,,ch Switzerland
2023-11-15,21:45,UEFA Euro Qualifying,Group stage,Wed,Away,D,1.0,1.0,il Israel,50.0,2024.0,Granit Xhaka,4-3-3,Anthony Taylor,Match Report,,ch Switzerland
2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,xk Kosovo,77.0,33000.0,Granit Xhaka,4-3-3,António Nobre,Match Report,,ch Switzerland
2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,1.0,ro Romania,64.0,50224.0,Granit Xhaka,4-3-3,Davide Massa,Match Report,,ch Switzerland
2024-03-23,20:00,Friendlies (M),Friendlies (M),Sat,Away,D,0.0,0.0,dk Denmark,,30731.0,Granit Xhaka,3-5-2,Allard Lindhout,Match Report,,ch Switzerland
2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Away,W,1.0,0.0,ie Rep. of Ireland,,35742.0,Granit Xhaka,3-4-3,Paweł Raczkowski,Match Report,,ch Switzerland
2024-06-04,20:15,Friendlies (M),Friendlies (M),Tue,Home,,,,ee Estonia,,,,,,Head-to-Head,,ch Switzerland
2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Home,,,,at Austria,,,,,,Head-to-Head,,ch Switzerland
2024-06-15,15:00,UEFA Euro,Group stage,Sat,Away,,,,hu Hungary,,,,,,Head-to-Head,,ch Switzerland
2024-06-19,21:00,UEFA Euro,Group stage,Wed,Away,,,,sct Scotland,,,,,,Head-to-Head,,ch Switzerland
2024-06-23,21:00,UEFA Euro,Group stage,Sun,Home,,,,de Germany,,,,,,Head-to-Head,,ch Switzerland
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3.0,1.0,pl Poland,36.0,19045.0,Tomáš Souček,3-4-3,Anastasios Sidiropoulos,Match Report,,cz Czechia
2023-03-27,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,md Moldova,68.0,5120.0,Tomáš Souček,3-4-3,Daniel Schlager,Match Report,,cz Czechia
2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,3.0,0.0,fo Faroe Islands,60.0,2232.0,Tomáš Souček,4-2-3-1,Arda Kardeşler,Match Report,,cz Czechia
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,1.0,1.0,al Albania,57.0,18641.0,Tomáš Souček,3-4-3,Anthony Taylor,Match Report,,cz Czechia
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,3.0,al Albania,64.0,20917.0,Tomáš Souček,3-4-3,Danny Makkelie,Match Report,,cz Czechia
2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1.0,0.0,fo Faroe Islands,71.0,9115.0,Tomáš Souček,4-2-3-1,Rohit Saggi,Match Report,,cz Czechia
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1.0,1.0,pl Poland,39.0,56310.0,Tomáš Souček,3-4-1-2,Daniele Orsato,Match Report,,cz Czechia
2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,md Moldova,55.0,11653.0,Tomáš Souček,3-4-1-2,Sandro Schärer,Match Report,,cz Czechia
2024-03-22,18:00,Friendlies (M),Friendlies (M),Fri,Away,W,2.0,1.0,no Norway,,11891.0,Tomáš Souček,4-2-3-1,Willy Delajod,Match Report,,cz Czechia
