Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,0.0,0.0,me Montenegro,72.0,6761.0,Dominik Szoboszlai,3-4-3,Jesús Gil,Match Report,,hu Hungary
2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,lt Lithuania,72.0,58274.0,Dominik Szoboszlai,3-4-3,António Nobre,Match Report,,hu Hungary
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,rs Serbia,46.0,6924.0,Dominik Szoboszlai,3-4-3,Juan Martínez,Match Report,,hu Hungary
2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,1.0,rs Serbia,36.0,58215.0,Dominik Szoboszlai,3-4-3,François Letexier,Match Report,,hu Hungary
2023-10-17,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,lt Lithuania,65.0,5349.0,Dominik Szoboszlai,3-4-3,Juxhin Xhaja,Match Report,,hu Hungary
2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2.0,2.0,bg Bulgaria,59.0,230.0,Dominik Szoboszlai,3-4-1-2,Daniel Stefański,Match Report,,hu Hungary
2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,3.0,1.0,me Montenegro,62.0,59600.0,Dominik Szoboszlai,3-4-3,Danny Makkelie,Match Report,,hu Hungary
2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,1.0,0.0,tr Türkiye,,58000.0,Dominik Szoboszlai,3-4-3,Bartosz Frankowski,Match Report,,hu Hungary
2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,xk Kosovo,,57000.0,Dominik Szoboszlai,3-4-3,Ovidiu Hațegan,Match Report,,hu Hungary
2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Away,,,,ie Rep. of Ireland,,,,,,Head-to-Head,,hu Hungary
2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Home,,,,il Israel,,,,,,Head-to-Head,,hu Hungary
2024-06-15,15:00,UEFA Euro,Group stage,Sat,Home,,,,ch Switzerland,,,,,,Head-to-Head,,hu Hungary
2024-06-19,18:00,UEFA Euro,Group stage,Wed,Away,,,,de Germany,,,,,,Head-to-Head,,hu Hungary
2024-06-23,21:00,UEFA Euro,Group stage,Sun,Away,,,,sct Scotland,,,,,,Head-to-Head,,hu Hungary
2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,eng England,58.0,44536.0,Marco Verratti,4-3-3,Srđan Jovanović,Match Report,,it Italy
2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,0.0,mt Malta,69.0,16015.0,Gianluigi Donnarumma,4-3-3,Georgi Kabakov,Match Report,,it Italy
2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,mk N. Macedonia,73.0,28126.0,Ciro Immobile,4-3-3,François Letexier,Match Report,,it Italy
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,ua Ukraine,64.0,58386.0,Gianluigi Donnarumma,4-3-3,Alejandro Hernández,Match Report,,it Italy
2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4.0,0.0,mt Malta,67.0,56186.0,Gianluigi Donnarumma,4-3-3,Duje Strukan,Match Report,,it Italy
2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,3.0,eng England,49.0,83194.0,Gianluigi Donnarumma,4-3-3,Clément Turpin,Match Report,,it Italy
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,2.0,mk N. Macedonia,64.0,56364.0,Gianluigi Donnarumma,4-3-3,Felix Zwayer,Match Report,,it Italy
2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,ua Ukraine,59.0,26403.0,Gianluigi Donnarumma,4-3-3,Jesús Gil,Match Report,,it Italy
2024-03-21,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,ve Venezuela,,,Gianluigi Donnarumma,3-4-3,Rubiel Vázquez,Match Report,,it Italy
2024-03-24,16:00,Friendlies (M),Friendlies (M),Sun,Neutral,W,2.0,0.0,ec Ecuador,,,Nicolò Barella,3-4-3,Jon Freemon,Match Report,,it Italy
2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Home,,,,tr Türkiye,,,,,,Head-to-Head,,it Italy
2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,,,,ba Bosnia & Herz'na,,,,,,Head-to-Head,,it Italy
2024-06-15,21:00,UEFA Euro,Group stage,Sat,Home,,,,al Albania,,,,,,Head-to-Head,,it Italy
2024-06-20,21:00,UEFA Euro,Group stage,Thu,Away,,,,es Spain,,,,,,Head-to-Head,,it Italy
2024-06-24,21:00,UEFA Euro,Group stage,Mon,Away,,,,hr Croatia,,,,,,Head-to-Head,,it Italy
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,4.0,fr France,59.0,77328.0,Virgil van Dijk,4-3-3,Maurizio Mariani,Match Report,,nl Netherlands
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,gi Gibraltar,87.0,36327.0,Virgil van Dijk,4-3-3,Morten Krogh,Match Report,,nl Netherlands
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,gr Greece,53.0,32079.0,Virgil van Dijk,3-4-3,Michael Oliver,Match Report,,nl Netherlands
2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,1.0,ie Rep. of Ireland,48.0,49807.0,Virgil van Dijk,3-4-3,Irfan Peljto,Match Report,,nl Netherlands
2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1.0,2.0,fr France,46.0,51310.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,nl Netherlands
2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,gr Greece,60.0,24967.0,Virgil van Dijk,4-2-3-1,Alejandro Hernández,Match Report,,nl Netherlands
2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1.0,0.0,ie Rep. of Ireland,55.0,51811.0,Virgil van Dijk,3-4-3,Marco Di Bello,Match Report,,nl Netherlands
2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,6.0,0.0,gi Gibraltar,79.0,2280.0,Virgil van Dijk,4-3-3,Arda Kardeşler,Match Report,,nl Netherlands
2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4.0,0.0,sct Scotland,,46223.0,Virgil van Dijk,4-1-4-1,Erik Lambrechts,Match Report,,nl Netherlands
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,de Germany,,48390.0,Virgil van Dijk,3-4-1-2,Espen Eskås,Match Report,,nl Netherlands
2024-06-06,20:45,Friendlies (M),Friendlies (M),Thu,Home,,,,ca Canada,,,,,,Head-to-Head,,nl Netherlands
2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,,,,is Iceland,,,,,,Head-to-Head,,nl Netherlands
2024-06-16,15:00,UEFA Euro,Group stage,Sun,Away,,,,pl Poland,,,,,,Head-to-Head,,nl Netherlands
2024-06-21,21:00,UEFA Euro,Group stage,Fri,Home,,,,fr France,,,,,,Head-to-Head,,nl Netherlands
2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,,,,at Austria,,,,,,Head-to-Head,,nl Netherlands
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,cz Czechia,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,pl Poland
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,al Albania,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,pl Poland
2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,md Moldova,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,pl Poland
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,fo Faroe Islands,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,pl Poland
2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,al Albania,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,pl Poland
2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,fo Faroe Islands,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,pl Poland
2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,md Moldova,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,pl Poland
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,cz Czechia,61.0,56310.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,pl Poland
2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,5,1,ee Estonia,85.0,,Robert Lewandowski,3-5-2,Slavko Vinčič,Match Report,,pl Poland
2024-03-26,19:45,UEFA Euro Qualifying,Finals,Tue,Away,D,0 (5),0 (4),wls Wales,58.0,,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,Poland won on penalty kicks following extra time,pl Poland
2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,,,,ua Ukraine,,,,,,Head-to-Head,,pl Poland
2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,,,,tr Türkiye,,,,,,Head-to-Head,,pl Poland
2024-06-16,15:00,UEFA Euro,Group stage,Sun,Home,,,,nl Netherlands,,,,,,Head-to-Head,,pl Poland
2024-06-21,18:00,UEFA Euro,Group stage,Fri,Home,,,,at Austria,,,,,,Head-to-Head,,pl Poland
2024-06-25,18:00,UEFA Euro,Group stage,Tue,Away,,,,fr France,,,,,,Head-to-Head,,pl Poland
2023-03-23,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,li Liechtenstein,82.0,45378.0,Cristiano Ronaldo,3-1-4-2,Espen Andreas Eskås,Match Report,,pt Portugal
2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,6.0,0.0,lu Luxembourg,62.0,9231.0,Cristiano Ronaldo,3-4-3,Radu Petrescu,Match Report,,pt Portugal
2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,ba Bosnia & Herz'na,62.0,55058.0,Cristiano Ronaldo,3-4-3,Davide Massa,Match Report,,pt Portugal
2023-06-20,18:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,is Iceland,72.0,9517.0,Cristiano Ronaldo,5-3-2,Daniel Siebert,Match Report,,pt Portugal
2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1.0,0.0,sk Slovakia,56.0,21473.0,Cristiano Ronaldo,4-3-3,Glenn Nyberg,Match Report,,pt Portugal
2023-09-11,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9.0,0.0,lu Luxembourg,66.0,18932.0,Bernardo Silva,4-2-3-1,John Brooks,Match Report,,pt Portugal
2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3.0,2.0,sk Slovakia,58.0,46601.0,Cristiano Ronaldo,4-1-3-2,Tasos Sidiropoulos,Match Report,,pt Portugal
2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,5.0,0.0,ba Bosnia & Herz'na,68.0,13047.0,Cristiano Ronaldo,4-4-1-1,Halil Umut Meler,Match Report,,pt Portugal
2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,0.0,li Liechtenstein,84.0,5749.0,Cristiano Ronaldo,3-4-3,Mohammed Al Hakim,Match Report,,pt Portugal
2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,is Iceland,74.0,45655.0,Cristiano Ronaldo,4-3-3,Anastasios Papapetrou,Match Report,,pt Portugal
2024-03-21,19:45,Friendlies (M),Friendlies (M),Thu,Home,W,5.0,2.0,se Sweden,,27532.0,Pepe,4-3-3,Ricardo de Burgos,Match Report,,pt Portugal
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,0.0,2.0,si Slovenia,,16432.0,Cristiano Ronaldo,3-4-3,Irfan Peljto,Match Report,,pt Portugal
2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Home,,,,fi Finland,,,,,,Head-to-Head,,pt Portugal
2024-06-08,17:45,Friendlies (M),Friendlies (M),Sat,Home,,,,hr Croatia,,,,,,Head-to-Head,,pt Portugal
2024-06-11,19:45,Friendlies (M),Friendlies (M),Tue,Home,,,,ie Rep. of Ireland,,,,,,Head-to-Head,,pt Portugal
2024-06-18,21:00,UEFA Euro,Group stage,Tue,Home,,,,cz Czechia,,,,,,Head-to-Head,,pt Portugal
2024-06-22,18:00,UEFA Euro,Group stage,Sat,Away,,,,tr Türkiye,,,,,,Head-to-Head,,pt Portugal
2024-06-26,21:00,UEFA Euro,Group stage,Wed,Away,,,,ge Georgia,,,,,,Head-to-Head,,pt Portugal
2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,ad Andorra,71.0,2927.0,Nicolae Stanciu,4-1-4-1,Dario Bel,Match Report,,ro Romania
2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,by Belarus,52.0,27837.0,Nicolae Stanciu,4-3-3,Allard Lindhout,Match Report,,ro Romania
2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0.0,0.0,xk Kosovo,40.0,11000.0,Nicolae Stanciu,4-3-3,Danny Makkelie,Match Report,,ro Romania
2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,2.0,2.0,ch Switzerland,28.0,14400.0,Nicolae Stanciu,3-4-3,Daniele Orsato,Match Report,,ro Romania
2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,il Israel,38.0,49193.0,Nicolae Stanciu,4-2-3-1,Slavko Vinčič,Match Report,,ro Romania
2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,xk Kosovo,72.0,29982.0,Nicolae Stanciu,4-1-4-1,Willy Delajod,Match Report,,ro Romania
2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,0.0,0.0,by Belarus,68.0,,Nicolae Stanciu,4-1-4-1,Espen Eskås,Match Report,,ro Romania
2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,ad Andorra,79.0,21723.0,Nicolae Stanciu,4-2-3-1,Kristo Tohver,Match Report,,ro Romania
2023-11-18,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,il Israel,35.0,2921.0,Nicolae Stanciu,4-2-3-1,François Letexier,Match Report,,ro Romania
2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,ch Switzerland,36.0,50224.0,Nicolae Stanciu,4-1-4-1,Davide Massa,Match Report,,ro Romania
2024-03-22,21:45,Friendlies (M),Friendlies (M),Fri,Home,D,1.0,1.0,nir Northern Ireland,,30439.0,Nicolae Stanciu,4-1-4-1,Kristoffer Karlsson,Match Report,,ro Romania
2024-03-26,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,L,2.0,3.0,co Colombia,,,Nicolae Stanciu,4-1-4-1,Alejandro Muñíz,Match Report,,ro Romania
2024-06-04,21:30,Friendlies (M),Friendlies (M),Tue,Home,,,,bg Bulgaria,,,,,,Head-to-Head,,ro Romania
2024-06-07,21:00,Friendlies (M),Friendlies (M),Fri,Home,,,,li Liechtenstein,,,,,,Head-to-Head,,ro Romania
2024-06-17,15:00,UEFA Euro,Group stage,Mon,Home,,,,ua Ukraine,,,,,,Head-to-Head,,ro Romania
2024-06-22,21:00,UEFA Euro,Group stage,Sat,Away,,,,be Belgium,,,,,,Head-to-Head,,ro Romania
2024-06-26,18:00,UEFA Euro,Group stage,Wed,Away,,,,sk Slovakia,,,,,,Head-to-Head,,ro Romania
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,lt Lithuania,60.0,21125.0,Dušan Tadić,3-4-3,Lawrence Visser,Match Report,,rs Serbia
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2.0,0.0,me Montenegro,65.0,9831.0,Dušan Tadić,3-4-3,Clément Turpin,Match Report,,rs Serbia
2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1.0,1.0,bg Bulgaria,68.0,6700.0,Dušan Tadić,3-4-3,Craig Pawson,Match Report,,rs Serbia
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,hu Hungary,55.0,6924.0,Dušan Tadić,3-4-1-2,Juan Martínez,Match Report,,rs Serbia
2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3.0,1.0,lt Lithuania,65.0,8586.0,Dušan Tadić,3-4-3,Sascha Stegemann,Match Report,,rs Serbia
2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1.0,2.0,hu Hungary,64.0,58215.0,Aleksandar Mitrović,3-4-3,François Letexier,Match Report,,rs Serbia
2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,me Montenegro,64.0,25884.0,Dušan Tadić,3-4-3,Szymon Marciniak,Match Report,,rs Serbia
2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,2.0,2.0,bg Bulgaria,58.0,7325.0,Dušan Tadić,3-4-3,Erik Lambrechts,Match Report,,rs Serbia
2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,W,1.0,0.0,cy Cyprus,,2100.0,Aleksandar Mitrović,3-4-3,Marco Di Bello,Match Report,,rs Serbia
2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Away,,,,at Austria,,,,,,Head-to-Head,,rs Serbia
2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,,,,se Sweden,,,,,,Head-to-Head,,rs Serbia
2024-06-16,21:00,UEFA Euro,Group stage,Sun,Home,,,,eng England,,,,,,Head-to-Head,,rs Serbia
2024-06-20,15:00,UEFA Euro,Group stage,Thu,Away,,,,si Slovenia,,,,,,Head-to-Head,,rs Serbia
2024-06-25,21:00,UEFA Euro,Group stage,Tue,Away,,,,dk Denmark,,,,,,Head-to-Head,,rs Serbia
2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,cy Cyprus,62.0,48195.0,Andrew Robertson,3-4-3,Duje Strukan,Match Report,,sct Scotland
2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,es Spain,25.0,47976.0,Andrew Robertson,3-4-3,Sandro Schärer,Match Report,,sct Scotland
2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,no Norway,41.0,25791.0,Andrew Robertson,3-4-3,Matej Jug,Match Report,,sct Scotland
2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,ge Georgia,51.0,50062.0,Andrew Robertson,5-3-2,István Vad II,Match Report,,sct Scotland
2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,cy Cyprus,57.0,6633.0,Andrew Robertson,3-4-3,Balázs Berke,Match Report,,sct Scotland
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,2.0,es Spain,26.0,45623.0,Andrew Robertson,5-4-1,Serdar Gözübüyük,Match Report,,sct Scotland
2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2.0,2.0,ge Georgia,64.0,44595.0,John McGinn,4-3-3,Aleksandar Stavrev,Match Report,,sct Scotland
2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,no Norway,50.0,48138.0,John McGinn,4-2-3-1,Horațiu Fesnic,Match Report,,sct Scotland
2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,4.0,nl Netherlands,,46223.0,Andrew Robertson,3-4-3,Erik Lambrechts,Match Report,,sct Scotland
2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,L,0.0,1.0,nir Northern Ireland,,,Andrew Robertson,3-4-3,Robert Jones,Match Report,,sct Scotland
2024-06-03,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,,,,gi Gibraltar,,,,,,Head-to-Head,,sct Scotland
2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,,,,fi Finland,,,,,,Head-to-Head,,sct Scotland
2024-06-14,21:00,UEFA Euro,Group stage,Fri,Away,,,,de Germany,,,,,,Head-to-Head,,sct Scotland
2024-06-19,21:00,UEFA Euro,Group stage,Wed,Home,,,,ch Switzerland,,,,,,Head-to-Head,,sct Scotland
2024-06-23,21:00,UEFA Euro,Group stage,Sun,Home,,,,hu Hungary,,,,,,Head-to-Head,,sct Scotland
2023-03-23,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,kz Kazakhstan,60.0,27122.0,Jan Oblak,4-4-2,Glenn Nyberg,Match Report,,si Slovenia
2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,sm San Marino,76.0,10282.0,Jan Oblak,4-4-2,Nathan Verboomen,Match Report,,si Slovenia
2023-06-16,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,2.0,fi Finland,58.0,32560.0,Jaka Bijol,4-2-2-2,Guillermo Cuadra,Match Report,,si Slovenia
2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,dk Denmark,37.0,14382.0,Jaka Bijol,4-4-2,François Letexier,Match Report,,si Slovenia
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,2.0,nir Northern Ireland,48.0,12587.0,Jan Oblak,4-4-2,Marco Guida,Match Report,,si Slovenia
2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,4.0,0.0,sm San Marino,81.0,844.0,Jan Oblak,4-4-2,Mykola Balakin,Match Report,,si Slovenia
2023-10-14,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,fi Finland,43.0,15823.0,Jan Oblak,4-4-2,Daniele Orsato,Match Report,,si Slovenia
2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,nir Northern Ireland,58.0,16332.0,Jan Oblak,4-4-2,István Kovács,Match Report,,si Slovenia
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1.0,2.0,dk Denmark,34.0,35608.0,Jan Oblak,4-4-2,Sánchez Santos,Match Report,,si Slovenia
2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,1.0,kz Kazakhstan,59.0,16432.0,Jan Oblak,4-4-2,Szymon Marciniak,Match Report,,si Slovenia
2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Away,D,2.0,2.0,mt Malta,,1652.0,Jan Oblak,4-2-2-2,Sandi Putros,Match Report,,si Slovenia
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,pt Portugal,,16432.0,Jan Oblak,4-2-2-2,Irfan Peljto,Match Report,,si Slovenia
2024-06-04,18:00,Friendlies (M),Friendlies (M),Tue,Home,,,,am Armenia,,,,,,Head-to-Head,,si Slovenia
2024-06-08,15:00,Friendlies (M),Friendlies (M),Sat,Home,,,,bg Bulgaria,,,,,,Head-to-Head,,si Slovenia
2024-06-16,18:00,UEFA Euro,Group stage,Sun,Home,,,,dk Denmark,,,,,,Head-to-Head,,si Slovenia
2024-06-20,15:00,UEFA Euro,Group stage,Thu,Home,,,,rs Serbia,,,,,,Head-to-Head,,si Slovenia
2024-06-25,21:00,UEFA Euro,Group stage,Tue,Away,,,,eng England,,,,,,Head-to-Head,,si Slovenia
2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,0.0,0.0,lu Luxembourg,52.0,3523.0,Juraj Kucka,4-3-3,Rade Obrenović,Match Report,,sk Slovakia
2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,ba Bosnia & Herz'na,45.0,6052.0,Juraj Kucka,4-3-3,Marco Di Bello,Match Report,,sk Slovakia
2023-06-17,18:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,is Iceland,52.0,7555.0,Marek Hamšík,4-3-3,Don Robertson,Match Report,,sk Slovakia
2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,li Liechtenstein,76.0,2316.0,Marek Hamšík,4-3-3,Igal Frid,Match Report,,sk Slovakia
2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,1.0,pt Portugal,44.0,21473.0,Milan Škriniar,4-3-3,Glenn Nyberg,Match Report,,sk Slovakia
2023-09-11,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,li Liechtenstein,80.0,13679.0,Milan Škriniar,4-3-3,Sander van der Eijk,Match Report,,sk Slovakia
2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,2.0,3.0,pt Portugal,42.0,46601.0,Milan Škriniar,4-3-3,Tasos Sidiropoulos,Match Report,,sk Slovakia
2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,lu Luxembourg,47.0,9386.0,Milan Škriniar,4-3-3,José Sánchez,Match Report,,sk Slovakia
2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,2.0,is Iceland,57.0,21548.0,Milan Škriniar,4-3-3,Craig Pawson,Match Report,,sk Slovakia
2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,1.0,ba Bosnia & Herz'na,57.0,3800.0,Milan Škriniar,4-3-3,Julian Weinberger,Match Report,,sk Slovakia
2024-03-23,18:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,2.0,at Austria,,9912.0,Juraj Kucka,4-1-4-1,Trustin Farrugia Cann,Match Report,,sk Slovakia
2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Away,D,1.0,1.0,no Norway,,9099.0,Juraj Kucka,4-1-4-1,Giorgi Kruashvili,Match Report,,sk Slovakia
2024-06-05,18:00,Friendlies (M),Friendlies (M),Wed,Neutral,,,,sm San Marino,,,,,,Head-to-Head,,sk Slovakia
2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,,,,wls Wales,,,,,,Head-to-Head,,sk Slovakia
2024-06-17,18:00,UEFA Euro,Group stage,Mon,Away,,,,be Belgium,,,,,,Head-to-Head,,sk Slovakia
2024-06-21,15:00,UEFA Euro,Group stage,Fri,Home,,,,ua Ukraine,,,,,,Head-to-Head,,sk Slovakia
2024-06-26,18:00,UEFA Euro,Group stage,Wed,Home,,,,ro Romania,,,,,,Head-to-Head,,sk Slovakia
2023-03-25,21:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,am Armenia,59.0,14125.0,Hakan Çalhanoğlu,3-4-3,José Sánchez,Match Report,,tr Türkiye
