Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 20_level_0,Team,Unnamed: 3_level_0
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,MP
Valentin Ticu,"DF,MF",23.0,0.0,0,,,,,,,,,,,,,,,,Matches,ro Romania,
Squad Total,,27.1,10.0,110,900.0,10.0,16.0,9.0,25.0,15.0,1.0,2.0,23.0,1.0,1.6,0.9,2.5,1.5,2.4,,ro Romania,
Opponent Total,,28.1,10.0,110,900.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,34.0,3.0,0.5,0.5,1.0,0.5,1.0,,ro Romania,
Vanja Milinković-Savić,GK,26.0,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Nemanja Gudelj,"MF,DF",32.0,8.0,8,697.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Dušan Tadić,MF,35.0,8.0,7,644.0,7.2,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.28,0.56,0.84,0.28,0.84,Matches,rs Serbia,
Aleksandar Mitrović,FW,29.0,7.0,7,589.0,6.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.76,0.15,0.92,0.76,0.92,Matches,rs Serbia,
Nikola Milenković,DF,26.0,8.0,6,577.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Andrija Živković,MF,27.0,8.0,6,549.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,rs Serbia,
Strahinja Pavlović,DF,22.0,6.0,6,540.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,rs Serbia,
Sergej Milinković-Savić,"MF,FW",28.0,7.0,5,520.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Saša Lukić,MF,27.0,6.0,5,374.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48,0.48,0.0,0.48,Matches,rs Serbia,
Filip Kostić,MF,31.0,6.0,4,379.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,rs Serbia,
Miloš Veljković,DF,28.0,4.0,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches,rs Serbia,
Filip Mladenović,MF,32.0,6.0,3,290.0,3.2,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.93,0.93,0.0,0.93,Matches,rs Serbia,
Ivan Ilić,MF,22.0,6.0,3,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Dušan Vlahović,"MF,FW",24.0,5.0,2,241.0,2.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.12,0.0,1.12,1.12,1.12,Matches,rs Serbia,
Srđan Babić,DF,27.0,3.0,2,181.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches,rs Serbia,
Marko Grujić,MF,27.0,3.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Nemanja Maksimović,MF,29.0,4.0,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Strahinja Eraković,DF,23.0,3.0,2,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Filip Đuričić,MF,32.0,3.0,2,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Dejan Joveljić,FW,24.0,2.0,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Nemanja Radonjić,MF,27.0,4.0,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Mijat Gaćinović,FW,28.0,1.0,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Aleksa Terzić,MF,24.0,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Lazar Samardzic,MF,21.0,3.0,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Đorđe Jovanović,FW,24.0,1.0,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Darko Lazović,"DF,FW",33.0,1.0,0,20.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,4.5,Matches,rs Serbia,
Stefan Mitrović,MF,21.0,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Uroš Račić,MF,25.0,2.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Petar Ratkov,FW,20.0,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Luka Jović,FW,26.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rs Serbia,
Erhan Mašović,DF,25.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Đorđe Petrović,GK,24.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Boris Radunović,GK,27.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Predrag Rajković,GK,28.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Dragan Rosić,GK,27.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Nemanja Stojić,MF,26.0,0.0,0,,,,,,,,,,,,,,,,Matches,rs Serbia,
Squad Total,,28.4,8.0,88,720.0,8.0,14.0,12.0,26.0,14.0,0.0,0.0,12.0,0.0,1.75,1.5,3.25,1.75,3.25,,rs Serbia,
Opponent Total,,27.8,8.0,88,720.0,8.0,9.0,9.0,18.0,9.0,0.0,0.0,17.0,1.0,1.13,1.13,2.25,1.13,2.25,,rs Serbia,
John McGinn,"MF,FW",29.0,,8,690.0,7.7,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.39,0.26,0.65,0.26,0.52,Matches,sct Scotland,8.0
Callum McGregor,MF,30.0,,8,689.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,sct Scotland,8.0
Scott McTominay,MF,27.0,,7,653.0,7.3,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,0.96,0.14,1.1,0.96,1.1,Matches,sct Scotland,8.0
Ryan Porteous,DF,24.0,,7,614.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,sct Scotland,7.0
Angus Gunn,GK,28.0,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,6.0
Aaron Hickey,"MF,DF",21.0,,6,513.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,6.0
Andrew Robertson,"MF,DF",29.0,,6,493.0,5.5,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.55,0.55,0.0,0.55,Matches,sct Scotland,6.0
Lyndon Dykes,FW,28.0,,5,497.0,5.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.18,0.36,0.54,0.18,0.54,Matches,sct Scotland,8.0
Jack Hendry,DF,28.0,,5,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,sct Scotland,5.0
Kieran Tierney,DF,26.0,,5,396.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,5.0
Ryan Christie,"FW,MF",28.0,,4,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,8.0
Scott McKenna,DF,27.0,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,3.0
Billy Gilmour,MF,22.0,,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,5.0
Nathan Patterson,DF,22.0,,2,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,6.0
Stuart Armstrong,MF,31.0,,2,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,0.5,1.0,Matches,sct Scotland,6.0
Zander Clark,GK,31.0,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,2.0
Grant Hanley,DF,32.0,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,2.0
Greg Taylor,DF,26.0,,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,2.0
Che Adams,FW,27.0,,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,3.0
Kenny McLean,MF,32.0,,1,175.0,1.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.51,0.51,1.03,0.51,1.03,Matches,sct Scotland,7.0
Ryan Jack,MF,31.0,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,3.0
Jacob Brown,FW,25.0,,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,1.0
Lewis Ferguson,MF,24.0,,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,3.0
Liam Cooper,DF,32.0,,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,2.0
Kevin Nisbet,FW,26.0,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,1.0
Anthony Ralston,DF,25.0,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,1.0
John Souttar,DF,27.0,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,1.0
Lawrence Shankland,FW,28.0,,0,9.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,Matches,sct Scotland,3.0
Dominic Hyam,DF,28.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sct Scotland,1.0
Josh Doig,"DF,MF",21.0,,0,,,,,,,,,,,,,,,,Matches,sct Scotland,0.0
Liam Kelly,GK,28.0,,0,,,,,,,,,,,,,,,,Matches,sct Scotland,0.0
Robby McCrorie,GK,25.0,,0,,,,,,,,,,,,,,,,Matches,sct Scotland,0.0
Squad Total,,27.7,,88,720.0,8.0,16.0,11.0,27.0,15.0,1.0,1.0,19.0,0.0,2.0,1.37,3.38,1.87,3.25,,sct Scotland,8.0
Opponent Total,,27.5,,88,720.0,8.0,8.0,5.0,13.0,7.0,1.0,2.0,20.0,1.0,1.0,0.62,1.62,0.87,1.5,,sct Scotland,8.0
Adam Gnezda Čerin,MF,24.0,10.0,10,900.0,10.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.4,Matches,si Slovenia,
Žan Karničnik,DF,29.0,10.0,10,867.0,9.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.1,0.21,0.31,0.1,0.31,Matches,si Slovenia,
Jaka Bijol,DF,24.0,10.0,10,845.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Petar Stojanović,"MF,DF",28.0,9.0,9,770.0,8.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,si Slovenia,
Benjamin Šeško,FW,20.0,9.0,9,750.0,8.3,5.0,2.0,7.0,3.0,2.0,2.0,0.0,0.0,0.6,0.24,0.84,0.36,0.6,Matches,si Slovenia,
Jan Oblak,GK,31.0,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Timi Elšnik,MF,25.0,8.0,7,593.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Jan Mlakar,MF,25.0,8.0,7,587.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,si Slovenia,
Andraž Šporar,FW,29.0,7.0,7,545.0,6.1,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.5,0.5,0.99,0.5,0.99,Matches,si Slovenia,
Erik Janža,DF,30.0,6.0,6,494.0,5.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches,si Slovenia,
Miha Blažič,DF,30.0,6.0,6,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
David Brekalo,DF,25.0,5.0,4,446.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,si Slovenia,
Sandi Lovrić,MF,25.0,7.0,3,300.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,si Slovenia,
Benjamin Verbič,MF,30.0,9.0,3,298.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,si Slovenia,
Žan Vipotnik,FW,21.0,8.0,2,282.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64,Matches,si Slovenia,
Miha Zajc,MF,29.0,4.0,2,209.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.43,Matches,si Slovenia,
Jure Balkovec,DF,29.0,5.0,2,199.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Jon Gorenc Stanković,MF,28.0,5.0,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Vid Belec,GK,33.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Matevž Vidovšek,GK,24.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Žan Celar,FW,24.0,2.0,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Andrés Vombergar,FW,29.0,1.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Vanja Drkušič,DF,24.0,4.0,0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Jasmin Kurtić,MF,35.0,6.0,0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Luka Zahović,FW,28.0,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Tomi Horvat,"FW,MF",24.0,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,si Slovenia,
Domen Črnigoj,MF,28.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Aljaž Ivačič,GK,30.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Aljoša Matko,FW,23.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Martin Turk,GK,20.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Žan Zaletel,DF,24.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Nino Žugelj,FW,23.0,0.0,0,,,,,,,,,,,,,,,,Matches,si Slovenia,
Squad Total,,27.1,10.0,110,900.0,10.0,18.0,13.0,31.0,16.0,2.0,2.0,10.0,0.0,1.8,1.3,3.1,1.6,2.9,,si Slovenia,
Opponent Total,,28.6,10.0,110,900.0,10.0,9.0,7.0,16.0,9.0,0.0,0.0,24.0,1.0,0.9,0.7,1.6,0.9,1.6,,si Slovenia,
Dávid Hancko,DF,26.0,10.0,10,895.0,9.9,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.2,0.5,Matches,sk Slovakia,
Martin Dúbravka,GK,35.0,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Stanislav Lobotka,MF,29.0,9.0,9,785.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches,sk Slovakia,
Milan Škriniar,DF,28.0,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Peter Pekarík,DF,37.0,9.0,8,717.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Juraj Kucka,MF,36.0,9.0,8,684.0,7.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.26,0.26,0.53,0.26,0.53,Matches,sk Slovakia,
Ondrej Duda,MF,29.0,8.0,8,652.0,7.2,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.28,0.28,0.55,0.14,0.41,Matches,sk Slovakia,
Denis Vavro,DF,27.0,7.0,7,628.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,sk Slovakia,
Róbert Polievka,FW,27.0,9.0,6,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Róbert Mak,FW,32.0,7.0,6,381.0,4.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,Matches,sk Slovakia,
Lukáš Haraslín,FW,27.0,5.0,5,415.0,4.6,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.65,0.22,0.87,0.65,0.87,Matches,sk Slovakia,
Ivan Schranz,FW,30.0,5.0,5,368.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Tomáš Suslov,FW,21.0,9.0,4,502.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,sk Slovakia,
Róbert Boženík,FW,24.0,8.0,4,424.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.21,0.21,0.42,0.21,0.42,Matches,sk Slovakia,
Norbert Gyömbér,DF,31.0,6.0,4,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
László Bénes,MF,26.0,7.0,2,261.0,2.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,0.69,Matches,sk Slovakia,
Ľubomír Šatka,DF,28.0,2.0,2,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches,sk Slovakia,
Marek Hamšík,MF,36.0,2.0,2,157.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,Matches,sk Slovakia,
Patrik Hrošovský,MF,31.0,6.0,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Michal Tomič,DF,24.0,3.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Marek Rodák,GK,27.0,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Dávid Ďuriš,FW,24.0,6.0,0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches,sk Slovakia,
Matúš Bero,"FW,MF",28.0,4.0,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Ľubomír Tupta,"FW,MF",25.0,2.0,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Adam Zreľák,"FW,MF",29.0,1.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Dávid Strelec,FW,22.0,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Erik Jirka,"FW,MF",26.0,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Jakub Kadák,MF,23.0,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Vernon De Marco Morlacchi,DF,31.0,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sk Slovakia,
Christián Herc,MF,25.0,0.0,0,,,,,,,,,,,,,,,,Matches,sk Slovakia,
Dominik Hollý,MF,20.0,0.0,0,,,,,,,,,,,,,,,,Matches,sk Slovakia,
Henrich Ravas,GK,26.0,0.0,0,,,,,,,,,,,,,,,,Matches,sk Slovakia,
Martin Valjent,"DF,MF",28.0,0.0,0,,,,,,,,,,,,,,,,Matches,sk Slovakia,
Squad Total,,29.9,10.0,110,900.0,10.0,17.0,13.0,30.0,16.0,1.0,1.0,17.0,0.0,1.7,1.3,3.0,1.6,2.9,,sk Slovakia,
Opponent Total,,27.4,10.0,110,900.0,10.0,7.0,5.0,12.0,5.0,2.0,2.0,17.0,1.0,0.7,0.5,1.2,0.5,1.0,,sk Slovakia,
Kerem Aktürkoğlu,"MF,FW",25.0,8.0,7,588.0,6.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,tr Türkiye,
Hakan Çalhanoğlu,MF,29.0,7.0,7,572.0,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,tr Türkiye,
Ferdi Kadioglu,"DF,MF",24.0,7.0,7,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,tr Türkiye,
Salih Özcan,MF,26.0,7.0,5,455.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,tr Türkiye,
Abdülkerim Bardakcı,DF,29.0,5.0,5,450.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,tr Türkiye,
Mert Günok,GK,34.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,tr Türkiye,
Cengiz Ünder,"MF,FW",26.0,5.0,5,440.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,tr Türkiye,
Merih Demiral,DF,25.0,5.0,5,405.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,tr Türkiye,
Barış Alper Yılmaz,FW,23.0,7.0,5,400.0,4.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.23,0.23,0.45,0.23,0.45,Matches,tr Türkiye,
Orkun Kökçü,MF,23.0,5.0,5,394.0,4.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.23,0.46,0.69,0.23,0.69,Matches,tr Türkiye,
